A,linear ,,,,A,quadratic,,,,A,chaining,,,,B,linear ,,,,B,quadratic,,,,B,chaining,,
insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search
8.00E-08,0.00011608,0,0,,1.00E-08,8.95E-05,0,0,,1.70E-07,4.28E-06,0,0,,8.00E-08,0.00013246,0,0,,8.00E-08,0.00014189,0,0,,1.00E-08,3.71E-06,0,0
8.00E-08,0.00011608,0,0,,3.00E-08,8.95E-05,0,0,,1.70E-07,4.28E-06,0,0,,8.00E-08,0.00013246,3,0,,2.70E-07,0.0001419,3,0,,3.00E-08,3.77E-06,3,0
9.00E-08,0.00011608,0,0,,1.40E-07,8.96E-05,0,0,,1.90E-07,4.28E-06,0,0,,1.00E-07,0.00013246,0,0,,3.30E-07,0.00014191,0,0,,3.00E-08,3.87E-06,0,0
1.10E-07,0.00011608,0,0,,1.40E-07,8.96E-05,0,0,,2.10E-07,4.28E-06,0,0,,1.20E-07,0.00013246,1,0,,6.20E-07,0.00014191,1,0,,5.00E-08,4.00E-06,1,0
1.10E-07,0.00011615,2,0,,2.70E-07,8.96E-05,2,0,,2.10E-07,4.36E-06,2,0,,1.20E-07,0.00013246,6,0,,6.20E-07,0.00014191,6,0,,5.00E-08,4.00E-06,6,0
1.20E-07,0.00011622,1,0,,2.90E-07,8.96E-05,1,0,,2.30E-07,4.36E-06,1,0,,1.30E-07,0.00013246,5,0,,6.70E-07,0.00014191,5,0,,5.00E-08,4.00E-06,4,0
1.20E-07,0.00011622,0,0,,2.90E-07,8.96E-05,0,0,,2.30E-07,4.36E-06,0,0,,1.30E-07,0.00013246,6,0,,6.90E-07,0.00014216,6,0,,7.00E-08,4.00E-06,6,0
1.40E-07,0.00011622,2,0,,3.10E-07,8.96E-05,2,0,,2.40E-07,4.36E-06,2,0,,1.50E-07,0.00013246,2,0,,9.40E-07,0.00014229,2,0,,7.00E-08,4.00E-06,1,0
1.40E-07,0.00011622,1,0,,3.10E-07,8.96E-05,1,0,,2.40E-07,4.36E-06,1,0,,1.50E-07,0.00013246,8,0,,1.15E-06,0.00014238,8,0,,7.00E-08,4.00E-06,8,0
1.40E-07,0.00011623,1,2,,3.30E-07,8.96E-05,1,2,,2.40E-07,4.36E-06,1,2,,1.50E-07,0.00013246,6,0,,1.30E-06,0.00014238,6,0,,9.00E-08,4.00E-06,6,0
1.50E-07,0.00011623,4,0,,3.30E-07,8.96E-05,4,0,,2.60E-07,4.36E-06,4,0,,1.60E-07,0.00013246,14,3,,1.55E-06,0.00014238,14,3,,9.00E-08,4.00E-06,13,0
1.50E-07,0.0001163,0,0,,3.30E-07,8.96E-05,0,0,,2.60E-07,4.36E-06,0,0,,1.60E-07,0.00013246,9,0,,1.69E-06,0.00014238,9,0,,1.10E-07,4.00E-06,8,0
1.70E-07,0.0001163,3,0,,3.50E-07,8.96E-05,3,0,,2.80E-07,4.36E-06,3,0,,1.80E-07,0.00013246,11,0,,1.72E-06,0.00014247,11,0,,1.10E-07,4.00E-06,10,0
1.70E-07,0.0001163,3,1,,3.50E-07,8.96E-05,3,1,,2.80E-07,4.36E-06,3,1,,2.00E-07,0.00013246,7,0,,1.75E-06,0.00014247,7,0,,1.10E-07,4.00E-06,6,0
1.70E-07,0.0001163,10,1,,3.70E-07,8.96E-05,10,1,,2.80E-07,4.36E-06,10,1,,2.00E-07,0.00013246,12,1,,1.75E-06,0.00014248,11,1,,1.30E-07,4.00E-06,10,0
1.80E-07,0.0001163,4,4,,3.70E-07,8.96E-05,4,4,,3.00E-07,4.36E-06,4,4,,2.20E-07,0.00013246,10,0,,1.75E-06,0.00014248,11,0,,1.30E-07,4.00E-06,10,0
1.80E-07,0.0001163,1,0,,3.70E-07,8.96E-05,1,0,,3.00E-07,4.36E-06,1,0,,2.20E-07,0.00013246,6,0,,1.77E-06,0.00014248,6,0,,1.50E-07,4.00E-06,5,0
1.90E-07,0.0001163,2,2,,3.90E-07,8.96E-05,2,2,,3.10E-07,4.36E-06,2,2,,2.30E-07,0.00013246,8,3,,1.77E-06,0.00014248,8,1,,1.50E-07,4.00E-06,7,0
1.90E-07,0.0001163,5,1,,3.90E-07,8.96E-05,5,1,,3.10E-07,4.36E-06,5,1,,2.30E-07,0.00013246,11,1,,1.79E-06,0.00014248,11,1,,1.50E-07,4.00E-06,11,0
1.90E-07,0.0001163,7,3,,4.10E-07,8.96E-05,7,3,,3.10E-07,4.36E-06,7,2,,2.30E-07,0.00013246,15,0,,1.79E-06,0.00014248,14,0,,1.70E-07,4.00E-06,13,0
2.10E-07,0.0001163,7,1,,4.10E-07,8.96E-05,7,1,,3.20E-07,4.36E-06,7,1,,2.50E-07,0.00013246,13,1,,1.79E-06,0.00014248,13,0,,1.70E-07,4.00E-06,12,0
2.10E-07,0.0001163,4,0,,4.10E-07,8.96E-05,4,0,,3.20E-07,4.36E-06,4,0,,2.50E-07,0.00013246,17,1,,1.81E-06,0.00014248,16,1,,1.80E-07,4.00E-06,15,0
2.30E-07,0.0001163,11,1,,4.40E-07,8.96E-05,11,1,,3.20E-07,4.36E-06,11,1,,2.70E-07,0.00013246,19,0,,1.81E-06,0.00014248,19,0,,1.80E-07,4.00E-06,18,0
2.30E-07,0.0001163,1,0,,4.40E-07,8.96E-05,1,0,,3.40E-07,4.36E-06,1,0,,2.70E-07,0.00013246,18,1,,1.87E-06,0.00014259,18,1,,1.80E-07,4.00E-06,17,0
2.30E-07,0.0001163,2,0,,4.40E-07,8.96E-05,2,0,,3.40E-07,4.36E-06,2,0,,2.70E-07,0.00013246,28,0,,1.96E-06,0.00014264,27,0,,2.00E-07,4.00E-06,26,0
2.50E-07,0.0001163,6,1,,4.60E-07,8.96E-05,6,1,,3.60E-07,4.36E-06,6,1,,2.90E-07,0.00013246,16,3,,2.09E-06,0.00014265,17,0,,2.00E-07,4.00E-06,14,0
2.50E-07,0.0001163,6,0,,4.60E-07,8.96E-05,6,0,,3.60E-07,4.36E-06,6,0,,2.90E-07,0.00013246,22,3,,2.21E-06,0.00014273,22,2,,2.20E-07,4.00E-06,19,0
2.50E-07,0.0001163,4,8,,4.80E-07,8.96E-05,4,8,,3.60E-07,4.36E-06,4,6,,2.90E-07,0.00013246,20,0,,2.21E-06,0.00014273,21,0,,2.20E-07,4.00E-06,16,0
2.70E-07,0.0001163,10,0,,4.80E-07,8.96E-05,10,0,,3.70E-07,4.36E-06,10,0,,3.00E-07,0.00013246,22,3,,2.21E-06,0.00014284,22,3,,2.20E-07,4.00E-06,21,0
2.70E-07,0.0001163,11,8,,4.80E-07,8.96E-05,11,8,,3.70E-07,4.36E-06,11,6,,3.00E-07,0.00013246,16,1,,2.37E-06,0.00014303,15,0,,2.40E-07,4.00E-06,14,0
2.90E-07,0.0001163,10,0,,5.00E-07,8.96E-05,10,0,,3.90E-07,4.36E-06,10,0,,3.20E-07,0.00013246,23,0,,2.65E-06,0.00014303,23,0,,2.40E-07,4.00E-06,21,0
2.90E-07,0.0001163,10,7,,5.00E-07,8.96E-05,10,7,,3.90E-07,4.36E-06,9,7,,3.20E-07,0.00013246,19,2,,2.73E-06,0.00014304,20,2,,2.40E-07,4.00E-06,18,0
2.90E-07,0.0001163,16,2,,5.20E-07,8.96E-05,16,2,,3.90E-07,4.36E-06,16,2,,3.20E-07,0.00013246,19,0,,2.79E-06,0.0001431,17,0,,2.50E-07,4.00E-06,17,0
