Insert,,,,,,,search,,,,,
LL A,LL B,BST A,BST B,Hash A,Hash B,,LL A,LL B,BST A,BST B,Hash A,Hash B
4.34E-06,1.28E-06,2.23E-06,2.14E-06,1.00E-08,8.00E-08,,1.27E-04,1.33E-04,4.80E-04,1.73E-03,8.95E-05,0.00014189
2.05E-06,2.02E-06,4.57E-06,4.15E-06,3.00E-08,2.70E-07,,2.44E-04,2.56E-04,4.81E-04,1.73E-03,8.95E-05,0.0001419
3.81E-06,2.20E-06,5.98E-06,6.31E-06,1.40E-07,3.30E-07,,3.57E-04,3.79E-04,4.82E-04,1.73E-03,8.96E-05,0.00014191
2.49E-06,1.64E-06,8.29E-06,8.46E-06,1.40E-07,6.20E-07,,5.55E-04,5.00E-04,4.83E-04,1.73E-03,8.96E-05,0.00014191
2.45E-06,1.11E-06,1.05E-05,9.97E-06,2.70E-07,6.20E-07,,6.91E-04,6.25E-04,4.84E-04,1.73E-03,8.96E-05,0.00014191
1.49E-06,1.35E-06,1.29E-05,1.15E-05,2.90E-07,6.70E-07,,7.83E-04,7.51E-04,4.85E-04,1.73E-03,8.96E-05,0.00014191
2.90E-06,1.01E-06,1.50E-05,1.30E-05,2.90E-07,6.90E-07,,8.83E-04,8.73E-04,4.86E-04,1.74E-03,8.96E-05,0.00014216
1.28E-06,1.09E-06,1.76E-05,1.46E-05,3.10E-07,9.40E-07,,9.77E-04,9.94E-04,4.87E-04,1.74E-03,8.96E-05,0.00014229
1.11E-06,1.09E-06,1.93E-05,1.62E-05,3.10E-07,1.15E-06,,1.07E-03,1.12E-03,4.88E-04,1.74E-03,8.96E-05,0.00014238
1.10E-06,1.09E-06,2.09E-05,1.81E-05,3.30E-07,1.30E-06,,1.17E-03,1.24E-03,4.89E-04,1.74E-03,8.96E-05,0.00014238
1.01E-06,1.05E-06,2.25E-05,2.01E-05,3.30E-07,1.55E-06,,1.27E-03,1.36E-03,4.90E-04,1.74E-03,8.96E-05,0.00014238
1.52E-06,1.39E-06,2.45E-05,2.21E-05,3.30E-07,1.69E-06,,1.37E-03,1.48E-03,4.91E-04,1.74E-03,8.96E-05,0.00014238
1.12E-06,1.23E-06,2.65E-05,2.37E-05,3.50E-07,1.72E-06,,1.47E-03,1.60E-03,4.92E-04,1.74E-03,8.96E-05,0.00014247
1.09E-06,1.94E-06,2.82E-05,2.60E-05,3.50E-07,1.75E-06,,1.59E-03,1.72E-03,4.93E-04,1.74E-03,8.96E-05,0.00014247
1.11E-06,3.22E-06,2.99E-05,2.78E-05,3.70E-07,1.75E-06,,1.71E-03,1.85E-03,4.94E-04,1.74E-03,8.96E-05,0.00014248
1.01E-06,2.74E-06,3.17E-05,2.95E-05,3.70E-07,1.75E-06,,1.86E-03,1.97E-03,4.95E-04,1.74E-03,8.96E-05,0.00014248
1.08E-06,3.87E-06,3.37E-05,3.14E-05,3.70E-07,1.77E-06,,1.99E-03,2.09E-03,4.96E-04,1.75E-03,8.96E-05,0.00014248
1.09E-06,1.18E-06,3.57E-05,3.49E-05,3.90E-07,1.77E-06,,2.11E-03,2.21E-03,4.97E-04,1.75E-03,8.96E-05,0.00014248
1.09E-06,1.09E-06,3.78E-05,3.73E-05,3.90E-07,1.79E-06,,2.21E-03,2.33E-03,4.98E-04,1.75E-03,8.96E-05,0.00014248
1.01E-06,1.05E-06,3.96E-05,4.37E-05,4.10E-07,1.79E-06,,2.31E-03,2.45E-03,4.99E-04,1.75E-03,8.96E-05,0.00014248
1.09E-06,1.09E-06,4.14E-05,5.03E-05,4.10E-07,1.79E-06,,2.41E-03,2.57E-03,5.00E-04,1.75E-03,8.96E-05,0.00014248
1.08E-06,1.09E-06,4.32E-05,5.49E-05,4.10E-07,1.81E-06,,2.50E-03,2.69E-03,5.01E-04,1.75E-03,8.96E-05,0.00014248
1.29E-06,1.34E-06,4.51E-05,5.74E-05,4.40E-07,1.81E-06,,2.61E-03,2.81E-03,5.02E-04,1.75E-03,8.96E-05,0.00014248
1.33E-06,1.09E-06,4.69E-05,6.00E-05,4.40E-07,1.87E-06,,2.71E-03,2.93E-03,5.03E-04,1.75E-03,8.96E-05,0.00014259
1.06E-06,1.05E-06,4.89E-05,6.23E-05,4.40E-07,1.96E-06,,2.81E-03,3.05E-03,5.04E-04,1.75E-03,8.96E-05,0.00014264
1.19E-06,1.09E-06,5.07E-05,6.34E-05,4.60E-07,2.09E-06,,2.90E-03,3.17E-03,5.05E-04,1.76E-03,8.96E-05,0.00014265
1.09E-06,1.09E-06,5.26E-05,6.46E-05,4.60E-07,2.21E-06,,3.00E-03,3.30E-03,5.06E-04,1.76E-03,8.96E-05,0.00014273
1.11E-06,1.11E-06,5.44E-05,6.57E-05,4.80E-07,2.21E-06,,3.09E-03,3.42E-03,5.07E-04,1.76E-03,8.96E-05,0.00014273
1.01E-06,1.01E-06,5.63E-05,6.68E-05,4.80E-07,2.21E-06,,3.19E-03,3.53E-03,5.08E-04,1.76E-03,8.96E-05,0.00014284
1.09E-06,1.09E-06,5.82E-05,6.80E-05,4.80E-07,2.37E-06,,3.27E-03,3.65E-03,5.09E-04,1.76E-03,8.96E-05,0.00014303
1.09E-06,1.65E-06,6.01E-05,6.93E-05,5.00E-07,2.65E-06,,3.38E-03,3.78E-03,5.10E-04,1.76E-03,8.96E-05,0.00014303
1.08E-06,1.10E-06,6.20E-05,7.04E-05,5.00E-07,2.73E-06,,3.47E-03,3.91E-03,5.11E-04,1.76E-03,8.96E-05,0.00014304
1.10E-06,1.13E-06,6.39E-05,7.18E-05,5.20E-07,2.79E-06,,3.56E-03,4.04E-03,5.12E-04,1.76E-03,8.96E-05,0.0001431
1.01E-06,1.01E-06,6.59E-05,7.31E-05,5.20E-07,2.86E-06,,3.67E-03,4.20E-03,5.13E-04,1.76E-03,8.96E-05,0.0001431
1.09E-06,1.70E-06,6.78E-05,7.42E-05,5.20E-07,2.99E-06,,3.76E-03,4.33E-03,5.14E-04,1.76E-03,8.96E-05,0.00014316
1.13E-06,1.21E-06,6.96E-05,7.55E-05,5.40E-07,3.04E-06,,3.86E-03,4.45E-03,5.15E-04,1.77E-03,8.96E-05,0.00014326
1.20E-06,1.09E-06,7.16E-05,7.69E-05,5.40E-07,3.05E-06,,3.95E-03,4.57E-03,5.16E-04,1.77E-03,8.96E-05,0.00014353
3.32E-06,1.22E-06,7.35E-05,7.83E-05,5.60E-07,3.21E-06,,4.06E-03,4.69E-03,5.17E-04,1.77E-03,8.96E-05,0.00014353
1.35E-06,1.63E-06,7.55E-05,7.98E-05,5.60E-07,3.21E-06,,4.15E-03,4.81E-03,5.18E-04,1.77E-03,8.96E-05,0.00014353
1.27E-06,1.10E-06,7.73E-05,8.08E-05,5.60E-07,3.21E-06,,4.25E-03,4.92E-03,5.19E-04,1.77E-03,8.96E-05,0.00014369
